Exchange Date,Close
2004-01-02,8082.75985663082
2004-01-05,8151.36902181767
2004-01-06,8207.12646190842
2004-01-07,8132.37700447257
2004-01-08,8236.9641318891
2004-01-09,8257.29815674166
2004-01-12,8216.13087874143
2004-01-13,8196.52581639621
2004-01-14,8170.59502225151
2004-01-15,8117.6084818013
2004-01-16,8068.24392348629
2004-01-19,8056.31040262475
2004-01-20,8188.23251073744
2004-01-21,8258.60427650849
2004-01-22,8258.38882842334
2004-01-23,8144.47426557852
2004-01-26,8065.82600018144
2004-01-27,8125.93648357272
2004-01-28,8138.65209471765
2004-01-29,8011.35001634404
2004-01-30,8005.46986106554
2004-02-02,7971.92503639012
2004-02-03,8069.43576548428
2004-02-04,8055.34494441696
2004-02-05,8034.35953820782
2004-02-06,8129.99963068286
2004-02-09,8239.96580942469
2004-02-10,8239.86606558296
2004-02-11,8315.6152463823
2004-02-12,8282.2142762548
2004-02-13,8318.4260638398
2004-02-16,8333.08758199588
2004-02-17,8496.45781755857
2004-02-18,8379.35196710799
2004-02-19,8549.30137453143
2004-02-20,8396.63765528529
2004-02-23,8445.60388277022
2004-02-24,8501.13430127041
2004-02-25,8431.31570087166
2004-02-26,8406.34772896501
2004-02-27,8390.067610474
2004-03-01,8472.45564892622
2004-03-02,8355.15927786672
2004-03-03,8283.23265604978
2004-03-04,8313.8574320258
2004-03-05,8393.93771575196
2004-03-08,8422.57611067956
2004-03-09,8289.5495692802
2004-03-10,8202.93804479256
2004-03-11,8055.99956505192
2004-03-12,8055.95628809462
2004-03-15,7968.4543156374
2004-03-16,8022.93353622085
2004-03-17,8094.0014165592
2004-03-18,8060.90765790535
2004-03-19,8095.10197350337
2004-03-22,8001.05234007202
2004-03-23,7987.03508479907
2004-03-24,7859.08378013641
2004-03-25,7903.19840983013
2004-03-26,7910.70002178489
2004-03-29,8015.00518360889
2004-03-30,8057.29623137599
2004-03-31,8094.18083162616
2004-04-01,8190.27723617995
2004-04-02,8178.32353533687
2004-04-05,8154.88215488215
2004-04-06,8239.36189809526
2004-04-07,8224.17918138987
2004-04-08,8230.97935687309
2004-04-13,8212.8982976866
2004-04-14,8035.65094322721
2004-04-15,8080.16499282642
2004-04-16,8151.63220208044
2004-04-19,8215.51583931187
2004-04-20,8154.74129468668
2004-04-21,8054.69900466618
2004-04-22,8119.61425070153
2004-04-23,8091.55777470873
2004-04-26,8167.66413577489
2004-04-27,8199.55558741311
2004-04-28,8015.59012153207
2004-04-29,8016.33586973872
2004-04-30,7985.36212293684
2004-05-04,8176.41241414033
2004-05-05,8182.23002130822
2004-05-06,8109.62667672253
2004-05-07,8038.11446848809
2004-05-10,7808.06537573281
2004-05-11,7827.79525206909
2004-05-12,7824.62144047662
2004-05-13,7849.36818173806
2004-05-14,7808.23049607988
2004-05-17,7786.7539128128
2004-05-18,7802.4815737844
2004-05-19,7977.66439504763
2004-05-20,7871.16324535678
2004-05-21,7925.58081304885
2004-05-24,7923.69485096792
2004-05-25,8001.44888164447
2004-05-26,8051.90399303352
2004-05-27,8186.19954415116
2004-05-28,8117.93913409921
2004-06-01,8137.2559842505
2004-06-02,8109.57497524661
2004-06-03,8160.6778164155
2004-06-04,8190.88685802548
2004-06-07,8262.69315673287
2004-06-08,8269.53648462595
2004-06-09,8212.09460571806
2004-06-10,8260.62938479387
2004-06-11,8147.76588592298
2004-06-14,8046.70284791171
2004-06-15,8168.64534095488
2004-06-16,8205.67492508952
2004-06-17,8241.09091576031
2004-06-18,8279.84711222183
2004-06-21,8246.65714181047
2004-06-22,8137.102795229
2004-06-23,8146.13820400159
2004-06-24,8222.75175750938
2004-06-25,8207.86075648824
2004-06-28,8267.79375709005
2004-06-29,8154.85958000508
2004-06-30,8120.6250454777
2004-07-01,8051.24006041088
2004-07-02,8068.17141706483
2004-07-05,8056.64727192885
2004-07-06,8045.68882998305
2004-07-07,8090.83314769435
2004-07-08,8103.71233560847
2004-07-09,8168.19128365315
2004-07-12,8116.55528045125
2004-07-13,8091.0154291762
2004-07-14,8116.7047205361
2004-07-15,8044.60876978392
2004-07-16,8124.37745740497
2004-07-19,8070.93894170603
2004-07-20,8035.27516480259
2004-07-21,8062.51381418993
2004-07-22,7941.15477529643
2004-07-23,7927.61988529125
2004-07-26,7892.92092423825
2004-07-27,7877.27446587616
2004-07-28,7949.21625517782
2004-07-29,8024.37075509391
2004-07-30,8030.93665265418
2004-08-02,8059.51924656408
2004-08-03,8084.09526416646
2004-08-04,8043.77657342018
2004-08-05,8046.40011668398
2004-08-06,7982.55492988847
2004-08-09,7942.85503884533
2004-08-10,7945.94199722405
2004-08-11,7895.12614888863
2004-08-12,7886.64152043585
2004-08-13,7940.21117141066
2004-08-16,8002.96190003127
2004-08-17,7967.60807970021
2004-08-18,7936.52963043954
2004-08-19,7987.5315829946
2004-08-20,7950.19742707937
2004-08-23,7959.99494064289
2004-08-24,7900.79770547638
2004-08-25,7922.36688515758
2004-08-26,8004.99649526413
2004-08-27,8041.74800752217
2004-08-31,8036.54844290656
2004-09-01,8073.10906286986
2004-09-02,8083.32737030411
2004-09-03,8079.60940967597
2004-09-06,8121.76110478361
2004-09-07,8097.67301621084
2004-09-08,8141.32628458146
2004-09-09,8114.05735946218
2004-09-10,8170.52870009168
2004-09-13,8190.16134248446
2004-09-14,8161.61235299397
2004-09-15,8080.81795085901
2004-09-16,8167.91252128709
2004-09-17,8227.96924565837
2004-09-20,8182.66447485976
2004-09-21,8279.86991986777
2004-09-22,8236.2752658859
2004-09-23,8207.41632381739
2004-09-24,8260.80837242873
2004-09-27,8216.91063383212
2004-09-28,8281.51801417923
2004-09-29,8256.23076784655
2004-09-30,8279.93043856311
2004-10-01,8382.17305270734
2004-10-04,8353.72207551211
2004-10-05,8387.63364219528
2004-10-06,8378.29562245205
2004-10-07,8374.03314917127
2004-10-08,8432.09632846426
2004-10-11,8422.17748458649
2004-10-12,8323.97292166623
2004-10-13,8311.53273676095
2004-10-14,8318.12628023142
2004-10-15,8339.47900129891
2004-10-18,8319.5410979842
2004-10-19,8399.00046909394
2004-10-20,8382.86513283337
2004-10-21,8436.77026804801
2004-10-22,8428.56881973739
2004-10-25,8407.40808958962
2004-10-26,8404.43751719079
2004-10-27,8460.92136761506
2004-10-28,8494.44718883218
2004-10-29,8497.88665098501
2004-11-01,8570.25763271294
2004-11-02,8632.60125813927
2004-11-03,8720.60916332451
2004-11-04,8718.41867497647
